Player Name,Rounds,Fairway Percentage,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money,No Seasons,cluster
Robert Karlsson,171.0,57.39666666666667,293.7,63.25333333333333,29.286666666666665,56.806666666666665,71.04866666666668,1264,0.0,4.0,-0.26733333333333337,-0.025666666666666654,-0.073,0.19499999999999998,0.12,2617393,3,2
Robert Streb,523.0,57.971666666666664,296.06666666666666,66.115,29.301666666666666,57.348333333333336,70.92483333333332,4036,1.0,14.0,-0.001666666666666668,0.15316666666666665,0.02616666666666664,-0.029833333333333333,0.15833333333333333,8705626,6,3
Roberto Castro,486.0,66.16666666666667,283.5,65.88,29.421666666666667,58.405,71.04583333333333,2828,0.0,7.0,-0.37283333333333335,0.12416666666666669,0.063,0.18883333333333333,0.23166666666666666,6593585,6,4
Roberto Díaz,72.0,63.2,286.3,63.73,29.21,58.56,71.73100000000001,107,0.0,0.0,0.168,-0.833,-0.165,-0.6,-0.237,235635,1,2
Rocco Mediate,194.0,66.46666666666665,278.09999999999997,65.44,29.683333333333334,56.663333333333334,71.84466666666667,430,0.0,0.0,-0.39199999999999996,-0.598,-0.1453333333333333,-0.06800000000000002,0.007666666666666669,1516720,3,4
Rod Pampling,470.0,63.67,287.2,64.42285714285715,29.4,58.142857142857146,71.59971428571428,1983,1.0,4.0,-0.3211428571428571,-0.413,0.03200000000000001,-0.3218571428571429,0.1977142857142857,3565037,7,2
Roger Sloan,56.0,59.45,293.6,63.14,29.33,53.62,72.533,103,0.0,0.0,-0.502,-1.605,-0.168,-0.746,-0.19,133048,1,1
Roger Tambellini,77.0,62.57,292.0,69.73,30.71,54.26,71.969,219,0.0,1.0,-0.789,-0.925,0.085,-0.235,0.0,370736,1,3
Roland Thatcher,194.0,61.129999999999995,290.0,65.98666666666666,29.580000000000002,55.080000000000005,71.64800000000001,632,0.0,4.0,-0.23466666666666672,-0.8123333333333332,-0.07466666666666663,-0.11466666666666665,-0.38999999999999996,1859329,3,3
Rory McIlroy,420.0,58.417142857142856,309.42857142857144,67.05,28.81714285714286,59.76571428571429,69.54528571428571,9482,7.0,43.0,-0.06242857142857145,1.5251428571428571,0.9595714285714286,0.4761428571428571,0.13285714285714287,33315834,7,5
